일자,국가,총(누적),1차(누적),완료(누적),추가(누적),총(일),1차(일),완료(일),추가(일),1차(%),완료(%),추가(%),인구수(명)
2021/07/03 토,대한민국,19776756,15489297,5451623,39,20960,3234,18179,2.0,30.19,10.63,0.0,51305184
2021/07/02 금,대한민국,19755796,15486063,5433444,37,129063,7931,122344,0.0,30.18,10.59,0.0,51305184
2021/07/01 목,대한민국,19626733,15478132,5311100,37,127935,7180,121961,1.0,30.17,10.35,0.0,51305184
2021/06/30 수,대한민국,19498798,15470952,5189139,36,153965,17152,138090,1.0,30.15,10.11,0.0,51305184
2021/06/29 화,대한민국,19344833,15453800,5051049,35,163721,18955,145887,0.0,30.12,9.85,0.0,51305184
2021/06/28 월,대한민국,19181112,15434845,4905162,35,159405,14860,145504,1.0,30.08,9.56,0.0,51305184
2021/06/27 일,대한민국,19021707,15419985,4759658,34,2747,855,1944,0.0,30.06,9.28,0.0,51305184
2021/06/26 토,대한민국,19018960,15419130,4757714,34,37315,12452,25031,0.0,30.05,9.27,0.0,51305184
2021/06/25 금,대한민국,18981645,15406678,4732683,34,163157,65617,98199,1.0,30.03,9.22,0.0,51305184
2021/06/24 목,대한민국,18818488,15341061,4634484,33,155139,47200,108762,1.0,29.9,9.03,0.0,51305184
2021/06/23 수,대한민국,18663349,15293861,4525722,32,165088,45657,120954,1.0,29.81,8.82,0.0,51305184
2021/06/22 화,대한민국,18498261,15248204,4404768,31,173560,50254,126289,3.0,29.72,8.59,0.0,51305184
2021/06/21 월,대한민국,18324701,15197950,4278479,28,163322,48986,118108,1.0,29.62,8.34,0.0,51305184
2021/06/20 일,대한민국,18161379,15148964,4160371,27,3351,1436,2360,0.0,29.53,8.11,0.0,51305184
2021/06/19 토,대한민국,18158028,15147528,4158011,27,235664,217263,37534,1.0,29.52,8.1,0.0,51305184
2021/06/18 금,대한민국,17922364,14930265,4120477,26,636356,538342,129372,1.0,29.1,8.03,0.0,51305184
2021/06/17 목,대한민국,17286008,14391923,3991105,25,548006,444222,130091,1.0,28.05,7.78,0.0,51305184
2021/06/16 수,대한민국,16738002,13947701,3861014,24,674234,569534,282999,0.0,27.19,7.53,0.0,51305184
2021/06/15 화,대한민국,16063768,13378167,3578015,24,744478,647979,209296,0.0,26.08,6.97,0.0,51305184
2021/06/14 월,대한민국,15319290,12730188,3368719,24,856150,769968,258673,3.0,24.81,6.57,0.0,51305184
2021/06/13 일,대한민국,14463140,11960220,3110046,21,30067,28505,13360,2.0,23.31,6.06,0.0,51305184
2021/06/12 토,대한민국,14433073,11931715,3096686,19,396328,389803,120815,1.0,23.26,6.04,0.0,51305184
2021/06/11 금,대한민국,14036745,11541912,2975871,18,863923,827587,238924,0.0,22.5,5.8,0.0,51305184
2021/06/10 목,대한민국,13172822,10714325,2736947,18,803833,767719,289239,1.0,20.88,5.33,0.0,51305184
2021/06/09 수,대한민국,12368989,9946606,2447708,17,618853,594000,25020,1.0,19.39,4.77,0.0,51305184
2021/06/08 화,대한민국,11750136,9352606,2422688,16,772821,746147,26781,2.0,18.23,4.72,0.0,51305184
2021/06/07 월,대한민국,10977315,8606459,2395907,14,915702,894178,21674,1.0,16.78,4.67,0.0,51305184
2021/06/06 일,대한민국,10061613,7712281,2374233,13,4629,3924,731,1.0,15.03,4.63,0.0,51305184
2021/06/05 토,대한민국,10056984,7708357,2373502,12,144685,141219,3533,1.0,15.02,4.63,0.0,51305184
2021/06/04 금,대한민국,9912299,7567138,2369969,11,401378,370057,31555,2.0,14.75,4.62,0.0,51305184
2021/06/03 목,대한민국,9510921,7197081,2338414,9,371646,344846,26900,1.0,14.03,4.56,0.0,51305184
2021/06/02 수,대한민국,9139275,6852235,2311514,8,407167,383507,23785,0.0,13.36,4.51,0.0,51305184
2021/06/01 화,대한민국,8732108,6468728,2287729,8,595457,568193,27407,1.0,12.61,4.46,0.0,51305184
2021/05/31 월,대한민국,8136651,5900535,2260322,7,415045,387113,27985,1.0,11.5,4.41,0.0,51305184
2021/05/30 일,대한민국,7721606,5513422,2232337,6,6789,6174,637,1.0,10.75,4.35,0.0,51305184
2021/05/29 토,대한민국,7714817,5507248,2231700,5,175549,165972,9623,1.0,10.73,4.35,0.0,51305184
2021/05/28 금,대한민국,7539268,5341276,2222077,4,611367,545358,66083,0.0,10.41,4.33,0.0,51305184
2021/05/27 목,대한민국,6927901,4795918,2155994,4,717770,661857,56300,0.0,9.35,4.2,0.0,51305184
2021/05/26 수,대한민국,6210131,4134061,2099694,4,157242,88844,68549,0.0,8.06,4.09,0.0,51305184
2021/05/25 화,대한민국,6052889,4045217,2031145,4,173627,79551,94291,0.0,7.88,3.96,0.0,51305184
2021/05/24 월,대한민국,5879262,3965666,1936854,4,177602,72515,105279,0.0,7.73,3.78,0.0,51305184
2021/05/23 일,대한민국,5701660,3893151,1831575,4,4204,1022,3197,0.0,7.59,3.57,0.0,51305184
2021/05/22 토,대한민국,5697456,3892129,1828378,4,42891,6417,36562,0.0,7.59,3.56,0.0,51305184
2021/05/21 금,대한민국,5654565,3885712,1791816,4,241524,16389,225491,0.0,7.57,3.49,0.0,51305184
2021/05/20 목,대한민국,5413041,3869323,1566325,4,224638,14103,210731,0.0,7.54,3.05,0.0,51305184
2021/05/19 수,대한민국,5188403,3855220,1355594,4,96985,3698,93338,0.0,7.51,2.64,0.0,51305184
2021/05/18 화,대한민국,5091418,3851522,1262256,4,155702,14041,141805,0.0,7.51,2.46,0.0,51305184
2021/05/17 월,대한민국,4935716,3837481,1120451,4,115631,15080,100767,0.0,7.48,2.18,0.0,51305184
2021/05/16 일,대한민국,4820085,3822401,1019684,4,7212,1506,5731,0.0,7.45,1.99,0.0,51305184
2021/05/15 토,대한민국,4812873,3820895,1013953,4,34027,3036,31051,1.0,7.45,1.98,0.0,51305184
2021/05/14 금,대한민국,4778846,3817859,982902,3,94050,13268,81184,0.0,7.44,1.92,0.0,51305184
2021/05/13 목,대한민국,4684796,3804591,901718,3,89410,10868,78945,0.0,7.42,1.76,0.0,51305184
2021/05/12 수,대한민국,4595386,3793723,822773,3,91458,8088,83583,0.0,7.39,1.6,0.0,51305184
2021/05/11 화,대한민국,4503928,3785635,739190,3,91518,10442,81470,1.0,7.38,1.44,0.0,51305184
2021/05/10 월,대한민국,4412410,3775193,657720,2,93570,15575,78478,0.0,7.36,1.28,0.0,51305184
2021/05/09 일,대한민국,4318840,3759618,579242,2,6424,950,5499,0.0,7.33,1.13,0.0,51305184
2021/05/08 토,대한민국,4312416,3758668,573743,2,42251,13595,28695,0.0,7.33,1.12,0.0,51305184
2021/05/07 금,대한민국,4270165,3745073,545048,2,127637,49885,78289,0.0,7.3,1.06,0.0,51305184
2021/05/06 목,대한민국,4142528,3695188,466759,2,133586,59490,74664,0.0,7.2,0.91,0.0,51305184
2021/05/05 수,대한민국,4008942,3635698,392095,2,33377,7033,26501,0.0,7.09,0.76,0.0,51305184
2021/05/04 화,대한민국,3975565,3628665,365594,2,108580,76385,32841,0.0,7.07,0.71,0.0,51305184
2021/05/03 월,대한민국,3866985,3552280,332753,2,118880,87437,32207,0.0,6.92,0.65,0.0,51305184
2021/05/02 일,대한민국,3748105,3464843,300546,2,3635,2434,1223,0.0,6.75,0.59,0.0,51305184
2021/05/01 토,대한민국,3744470,3462409,299323,2,49777,41087,8809,0.0,6.75,0.58,0.0,51305184
2021/04/30 금,대한민국,3694693,3421322,290514,2,309084,278086,32026,1.0,6.67,0.57,0.0,51305184
2021/04/29 목,대한민국,3385609,3143236,258488,1,293030,261810,31268,0.0,6.13,0.5,0.0,51305184
2021/04/28 수,대한민국,3092579,2881426,227220,1,253505,231792,21744,0.0,5.62,0.44,0.0,51305184
2021/04/27 화,대한민국,2839074,2649634,205476,1,199827,176967,22896,0.0,5.16,0.4,0.0,51305184
2021/04/26 월,대한민국,2639247,2472667,182580,1,165373,142955,22433,0.0,4.82,0.36,0.0,51305184
2021/04/25 일,대한민국,2473874,2329712,160147,1,8053,7133,926,0.0,4.54,0.31,0.0,51305184
2021/04/24 토,대한민국,2465821,2322579,159221,1,72506,65887,6622,0.0,4.53,0.31,0.0,51305184
2021/04/23 금,대한민국,2393315,2256692,152599,1,181365,160688,20687,0.0,4.4,0.3,0.0,51305184
2021/04/22 목,대한민국,2211950,2096004,131912,1,152225,132576,19651,0.0,4.09,0.26,0.0,51305184
2021/04/21 수,대한민국,2059725,1963428,112261,1,134618,133245,1399,0.0,3.83,0.22,0.0,51305184
2021/04/20 화,대한민국,1925107,1830183,110862,1,132625,131512,1117,0.0,3.57,0.22,0.0,51305184
2021/04/19 월,대한민국,1792482,1698671,109745,1,123950,123084,870,0.0,3.31,0.21,0.0,51305184
2021/04/18 일,대한민국,1668532,1575587,108875,1,5985,5588,401,0.0,3.07,0.21,0.0,51305184
2021/04/17 토,대한민국,1662547,1569999,108474,1,31077,30413,668,0.0,3.06,0.21,0.0,51305184
2021/04/16 금,대한민국,1631470,1539586,107806,1,105267,104023,1259,0.0,3,0.21,0.0,51305184
2021/04/15 목,대한민국,1526203,1435563,106547,1,94949,94056,897,0.0,2.8,0.21,0.0,51305184
2021/04/14 수,대한민국,1431254,1341507,105650,1,48049,47115,942,0.0,2.61,0.21,0.0,51305184
2021/04/13 화,대한민국,1383205,1294392,104708,1,46693,45970,1744,0.0,2.52,0.2,0.0,51305184
2021/04/12 월,대한민국,1336512,1248422,102964,1,41308,40557,2429,0.0,2.43,0.2,0.0,51305184
2021/04/11 일,대한민국,1295204,1207865,100535,1,1543,1176,450,0.0,2.35,0.2,0.0,51305184
2021/04/10 토,대한민국,1293661,1206689,100085,1,12086,10544,2264,,2.35,0.2,0.0,51305184
2021/04/09 금,대한민국,1281575,1196145,97821,,44567,36360,9807,,2.33,0.19,,51305184
2021/04/08 목,대한민국,1237008,1159785,88014,,49957,39425,11899,,2.26,0.17,,51305184
2021/04/07 수,대한민국,1187051,1120360,76115,,49391,39502,11232,,2.18,0.15,,51305184
2021/04/06 화,대한민국,1137660,1080858,64883,,46493,39936,7479,,2.11,0.13,,51305184
2021/04/05 월,대한민국,1091167,1040922,57404,,38625,37937,1738,,2.03,0.11,,51305184
2021/04/04 일,대한민국,1052542,1002985,55666,,1469,1221,288,,1.95,0.11,,51305184
2021/04/03 토,대한민국,1051073,1001764,55378,,10400,9546,939,,1.95,0.11,,51305184
2021/04/02 금,대한민국,1040673,992218,54439,,47744,40645,7660,,1.93,0.11,,51305184
2021/04/01 목,대한민국,992929,951573,46779,,45828,37962,7985,,1.85,0.09,,51305184
2021/03/31 수,대한민국,947101,913611,38794,,29181,23850,5381,,1.78,0.08,,51305184
2021/03/30 화,대한민국,917920,889761,33413,,31399,28725,2715,,1.73,0.07,,51305184
2021/03/29 월,대한민국,886521,861036,30698,,28088,26695,1417,,1.68,0.06,,51305184
2021/03/28 일,대한민국,858433,834341,29281,,1049,819,239,,1.63,0.06,,51305184
2021/03/27 토,대한민국,857384,833522,29042,,2765,2425,366,,1.62,0.06,,51305184
2021/03/26 금,대한민국,854619,831097,28676,,27550,25721,2078,,1.62,0.06,,51305184
2021/03/25 목,대한민국,827069,805376,26598,,35404,33768,1925,,1.57,0.05,,51305184
2021/03/24 수,대한민국,791665,771608,24673,,30918,29345,1598,,1.5,0.05,,51305184
2021/03/23 화,대한민국,760747,742263,23075,,22586,21527,1271,,1.45,0.04,,51305184
2021/03/22 월,대한민국,738161,720736,21804,,5389,4805,741,,1.4,0.04,,51305184
2021/03/21 일,대한민국,732772,715931,21063,,1181,766,434,,1.4,0.04,,51305184
2021/03/20 토,대한민국,731591,715165,20629,,2418,1927,518,,1.39,0.04,,51305184
2021/03/19 금,대한민국,729173,713238,20111,,18847,18460,970,,1.39,0.04,,51305184
2021/03/18 목,대한민국,710326,694778,19141,,21156,20670,860,,1.35,0.04,,51305184
2021/03/17 수,대한민국,689170,674108,18281,,21643,21357,894,,1.31,0.04,,51305184
2021/03/16 화,대한민국,667527,652751,17387,,20732,20416,1001,,1.27,0.03,,51305184
2021/03/15 월,대한민국,646795,632335,16386,,14390,14137,1149,,1.23,0.03,,51305184
2021/03/14 일,대한민국,632405,618198,15237,,1828,1760,122,,1.2,0.03,,51305184
2021/03/13 토,대한민국,630577,616438,15115,,4569,4437,192,,1.2,0.03,,51305184
2021/03/12 금,대한민국,626008,612001,14923,,39434,39124,559,,1.19,0.03,,51305184
2021/03/11 목,대한민국,586574,572877,14364,,45773,45378,624,,1.12,0.03,,51305184
2021/03/10 수,대한민국,540801,527499,13740,,55230,54959,542,,1.03,0.03,,51305184
2021/03/09 화,대한민국,485571,472540,13198,,64624,64214,431,,0.92,0.03,,51305184
2021/03/08 월,대한민국,420947,408326,12767,,68270,68059,238,,0.8,0.02,,51305184
2021/03/07 일,대한민국,352677,340267,12529,,2472,2406,87,,0.66,0.02,,51305184
2021/03/06 토,대한민국,350205,337861,12442,,18565,18444,144,,0.66,0.02,,51305184
2021/03/05 금,대한민국,331640,319417,12298,,71486,71107,389,,0.62,0.02,,51305184
2021/03/04 목,대한민국,260154,248310,11909,,71133,70660,483,,0.48,0.02,,51305184
2021/03/03 수,대한민국,189021,177650,11426,,69608,69333,279,,0.35,0.02,,51305184
2021/03/02 화,대한민국,119413,108317,11147,,66450,66187,266,,0.21,0.02,,51305184
2021/03/01 월,대한민국,52963,42130,10881,,2129,1905,228,,0.08,0.02,,51305184
2021/02/28 일,대한민국,50834,40225,10653,,1106,1014,92,,0.08,0.02,,51305184
2021/02/27 토,대한민국,49728,39211,10561,,1910,1724,188,,0.08,0.02,,51305184
2021/02/26 금,대한민국,47818,37487,10373,,,,,,0.07,0.02,,51305184
